index,Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles,Year,Month,Day,Location,Region,Is_northeast,Is_midwest,Is_territory,Is_south,Is_west,EV_Density,Days_Since_First_Record,Quarter,County_EV_Mean,State_EV_Mean,Vehicle_Size_Bin,EV_Percent_Bin,BEV_in_West,Winter_EV,EV_Growth_Rate,Market_Growth_Rate,EV_Z_Score,BEV_Percentage,PHEV_Percentage,EV_to_NonEV_Ratio,Dominant_EV_Type,West_BEV
30,2018-05-31,Ferry,WA,Truck,0,0,0,3501,3501,0.0,2018,5,31,"Ferry, WA",West,0,0,0,0,1,0.0,485,2,0.21727842314542983,0.49610926478863887,Medium,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
31,2021-11-30,Jefferson,NY,Passenger,1,0,1,208,209,0.4784688995215311,2021,11,30,"Jefferson, NY",Northeast,1,0,0,0,0,0.004784688995215311,1764,4,3.8775385909493782,6.750273862944342,Small,Low,,0,,,-0.3779405327759549,0.48,0.0,0.004807692307692308,BEV,0
32,2018-04-30,Lee,AL,Passenger,1,0,1,32,33,3.0303030303030303,2018,4,30,"Lee, AL",South,0,0,0,1,0,0.030303030303030304,454,2,3.3677836584917467,6.95297512928859,Tiny,High,,0,,,-0.13619317114166066,3.03,0.0,0.03125,BEV,0
33,2024-08-31,Hardin,KY,Truck,1,0,1,17,18,5.555555555555556,2024,8,31,"Hardin, KY",South,0,0,0,1,0,0.05555555555555555,2769,3,2.2577349672043483,7.411205959467548,Tiny,Very High,,0,,,0.10303598880894306,5.56,0.0,0.058823529411764705,BEV,0
34,2020-03-31,Wahkiakum,WA,Passenger,6,5,11,3006,3017,0.3646005966191581,2020,3,31,"Wahkiakum, WA",West,0,0,0,0,1,0.003646005966191581,1155,1,0.5262021235367276,0.49610926478863887,Medium,Low,6,0,,,-0.3887278176814958,0.2,0.17,0.003659347970725216,BEV,1
35,2024-04-30,Alexandria,VA,Passenger,3,0,3,88,91,3.296703296703297,2024,4,30,"Alexandria, VA",South,0,0,0,1,0,0.03296703296703297,2646,2,2.315788789965814,9.696117221277873,Tiny,High,,0,,,-0.11095580921280575,3.3,0.0,0.03409090909090909,BEV,0
36,2019-11-30,Santa Cruz,CA,Passenger,1,0,1,38,39,2.564102564102564,2019,11,30,"Santa Cruz, CA",West,0,0,0,0,1,0.02564102564102564,1033,4,3.229833174356691,2.3763470968966462,Tiny,High,1,0,,,-0.18035855451715674,2.56,0.0,0.02631578947368421,BEV,1
37,2018-10-31,Pinal,AZ,Passenger,2,0,2,218,220,0.909090909090909,2018,10,31,"Pinal, AZ",West,0,0,0,0,1,0.00909090909090909,638,4,1.652264233699274,1.4165223049062798,Small,Low,2,0,,,-0.3371456655001677,0.91,0.0,0.009174311926605505,BEV,1
38,2024-05-31,Salt Lake,UT,Passenger,5,1,6,106,112,5.357142857142857,2024,5,31,"Salt Lake, UT",West,0,0,0,0,1,0.05357142857142857,2677,2,1.9399415413166634,3.7192942143877543,Small,Very High,5,0,,,0.08423941195568124,4.46,0.89,0.05660377358490566,BEV,1
39,2022-12-31,Williamson,TX,Passenger,0,2,2,93,95,2.1052631578947367,2022,12,31,"Williamson, TX",South,0,0,0,1,0,0.021052631578947368,2160,4,6.365805018987244,4.399044782974192,Tiny,High,,2,,,-0.22382658973409233,0.0,2.11,0.021505376344086023,PHEV,0
40,2024-07-31,Cumberland,NC,Passenger,3,2,5,304,309,1.6181229773462784,2024,7,31,"Cumberland, NC",South,0,0,0,1,0,0.016181229773462782,2738,3,1.3054095890299777,5.916470008427661,Small,Medium,,0,,,-0.2699756916577264,0.97,0.65,0.01644736842105263,BEV,0
41,2021-09-30,Franklin,WA,Truck,0,0,0,20702,20702,0.0,2021,9,30,"Franklin, WA",West,0,0,0,0,1,0.0,1703,3,2.843016393011232,0.49610926478863887,Large,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
42,2024-02-29,Philadelphia,PA,Passenger,0,1,1,39,40,2.5,2024,2,29,"Philadelphia, PA",Northeast,1,0,0,0,0,0.025,2585,1,2.415101153345667,10.34305431462151,Tiny,High,,1,,,-0.18643129473128742,0.0,2.5,0.02564102564102564,PHEV,0
43,2018-06-30,Juneau,AK,Passenger,0,1,1,50,51,1.96078431372549,2018,6,30,"Juneau, AK",West,0,0,0,0,1,0.0196078431372549,515,2,2.810864981177271,1.718784728330176,Tiny,Medium,0,0,,,-0.2375137565325046,0.0,1.96,0.02,PHEV,0
44,2017-09-30,Essex,MA,Passenger,1,0,1,25,26,3.8461538461538463,2017,9,30,"Essex, MA",Northeast,1,0,0,0,0,0.038461538461538464,242,3,9.479254636754032,7.985613582835361,Tiny,High,,0,,,-0.05890375023454254,3.85,0.0,0.04,BEV,0
45,2021-07-31,Richmond,NY,Passenger,1,0,1,7,8,12.5,2021,7,31,"Richmond, NY",Northeast,1,0,0,0,0,0.125,1642,3,10.232761578136536,6.750273862944342,Tiny,Very High,,0,,,0.760916178673103,12.5,0.0,0.14285714285714285,BEV,0
46,2020-04-30,Carson City,NV,Passenger,1,0,1,11,12,8.333333333333332,2020,4,30,"Carson City, NV",West,0,0,0,0,1,0.08333333333333333,1185,2,8.674658674658675,2.9512552393848557,Tiny,Very High,1,0,,,0.3661880647546069,8.33,0.0,0.09090909090909091,BEV,1
47,2025-01-31,Leavenworth,KS,Passenger,4,2,6,65,71,8.450704225352112,2025,1,31,"Leavenworth, KS",Midwest,0,1,0,0,0,0.08450704225352113,2922,1,4.116615318327608,2.4680643360002485,Tiny,Very High,,6,,,0.37730716655512797,5.63,2.82,0.09230769230769231,BEV,0
48,2020-01-31,Sarasota,FL,Passenger,2,0,2,40,42,4.761904761904762,2020,1,31,"Sarasota, FL",South,0,0,0,1,0,0.047619047619047616,1095,1,4.6912109653082,3.039365731673768,Tiny,High,,2,,,0.02784968139589613,4.76,0.0,0.05,BEV,0
49,2018-11-30,Grays Harbor,WA,Passenger,61,67,128,47363,47491,0.2695247520582847,2018,11,30,"Grays Harbor, WA",West,0,0,0,0,1,0.0026952475205828472,668,4,0.3829308137859151,0.49610926478863887,Large,Low,61,0,,,-0.397734803794149,0.13,0.14,0.0027025315119396996,PHEV,0
50,2018-08-31,San Juan,WA,Truck,0,0,0,5753,5753,0.0,2018,8,31,"San Juan, WA",West,0,0,0,0,1,0.0,577,3,2.331409400143752,0.49610926478863887,Medium,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
51,2017-09-30,Pacific,WA,Truck,0,0,0,7510,7510,0.0,2017,9,30,"Pacific, WA",West,0,0,0,0,1,0.0,242,3,0.2111266961293342,0.49610926478863887,Medium,,0,0,,,-0.4232681630823851,0.0,0.0,0.0,Equal,0
52,2023-01-31,Pulaski,MO,Passenger,3,0,3,99,102,2.941176470588235,2023,1,31,"Pulaski, MO",Midwest,0,1,0,0,0,0.029411764705882353,2191,1,2.928847828199527,9.508726758783093,Small,High,,3,,,-0.14463655325756433,2.94,0.0,0.030303030303030304,BEV,0
53,2018-02-28,Clay,FL,Passenger,0,1,1,103,104,0.9615384615384616,2018,2,28,"Clay, FL",South,0,0,0,1,0,0.009615384615384616,393,1,1.0347912476318073,3.039365731673768,Small,Low,,1,,,-0.3321770598704244,0.0,0.96,0.009708737864077669,PHEV,0
54,2020-06-30,Owyhee,ID,Passenger,1,0,1,3,4,25.0,2020,6,30,"Owyhee, ID",West,0,0,0,0,1,0.25,1246,2,28.703703703703702,6.448154746062718,Tiny,Very High,1,0,,,1.9451005204285912,25.0,0.0,0.3333333333333333,BEV,1
